Fecha,Producto,Cantidad,Precio Unitario,Total Venta,Total_Calc
2023-01-17,Electrónic,7,200,1400,1400
2023-09-01,Electrónic,8,200,1600,1600
2023-07-29,Juguetes,3,30,90,90
2023-10-04,Alimentos,4,10,40,40
2023-02-28,Electrónic,6,200,1200,1200
2023-03-11,Ropa,9,50,450,450
2023-11-03,Juguetes,4,30,120,120
2023-11-08,Ropa,9,50,450,450
2023-03-22,Ropa,10,50,500,500
2023-09-29,Ropa,1,50,50,50
2023-09-12,Alimentos,2,10,20,20
2023-01-25,Juguetes,3,30,90,90
2023-11-21,Alimentos,3,10,30,30
2023-05-27,Alimentos,2,10,20,20
2023-01-19,Juguetes,10,30,300,300
2023-12-05,Libros,4,20,80,80
2023-06-05,Alimentos,6,10,60,60
2023-05-19,Libros,10,20,200,200
2023-01-20,Alimentos,9,10,90,90
2023-06-18,Electrónic,9,200,1800,1800
2023-11-21,Alimentos,1,10,10,10
2023-05-01,Electrónic,10,200,2000,2000
2023-02-10,Juguetes,1,30,30,30
2023-07-27,Libros,3,20,60,60
2023-09-13,Alimentos,8,10,80,80
2023-09-11,Juguetes,6,30,180,180
2023-12-10,Libros,1,20,20,20
2023-07-23,Libros,1,20,20,20
2023-01-17,Libros,9,20,180,180
2023-05-19,Ropa,10,50,500,500
2023-05-09,Juguetes,8,30,240,240
2023-02-21,Juguetes,8,30,240,240
2023-06-01,Alimentos,1,10,10,10
2023-04-02,Ropa,6,50,300,300
2023-08-21,Libros,3,20,60,60
2023-09-12,Juguetes,1,30,30,30
2023-02-17,Libros,6,20,120,120
2023-11-19,Electrónic,4,200,800,800
2023-06-28,Electrónic,8,200,1600,1600
2023-03-20,Juguetes,2,30,60,60
2023-06-01,Juguetes,4,30,120,120
2023-11-19,Electrónic,10,200,2000,2000
2023-10-18,Ropa,4,50,200,200
2023-04-11,Alimentos,6,10,60,60
2023-10-20,Alimentos,4,10,40,40
2023-11-20,Juguetes,8,30,240,240
2023-05-04,Alimentos,6,10,60,60
2023-08-08,Electrónic,10,200,2000,2000
2023-01-07,Libros,4,20,80,80
2023-12-05,Electrónic,1,200,200,200
2023-03-18,Libros,7,20,140,140
2023-06-07,Electrónic,2,200,400,400
2023-05-17,Juguetes,6,30,180,180
2023-08-20,Libros,4,20,80,80
2023-06-01,Ropa,4,50,200,200
2023-12-23,Ropa,5,50,250,250
2023-11-11,Alimentos,1,10,10,10
2023-09-28,Libros,8,20,160,160
2023-08-04,Alimentos,9,10,90,90
2023-02-14,Libros,4,20,80,80
2023-08-12,Juguetes,6,30,180,180
2023-10-09,Juguetes,6,30,180,180
2023-11-08,Libros,5,20,100,100
2023-08-24,Ropa,3,50,150,150
2023-10-17,Juguetes,9,30,270,270
2023-07-26,Libros,10,20,200,200
2023-08-13,Electrónic,10,200,2000,2000
2023-10-18,Libros,3,20,60,60
2023-08-18,Libros,8,20,160,160
2023-09-17,Electrónic,6,200,1200,1200
2023-10-14,Ropa,9,50,450,450
2023-11-07,Ropa,7,50,350,350
2023-03-06,Juguetes,2,30,60,60
2023-07-31,Ropa,2,50,100,100
2023-06-28,Libros,8,20,160,160
2023-01-12,Electrónic,4,200,800,800
2023-09-15,Juguetes,6,30,180,180
2023-12-03,Ropa,6,50,300,300
2023-06-15,Electrónic,5,200,1000,1000
2023-12-09,Electrónic,4,200,800,800
2023-05-03,Alimentos,8,10,80,80
2023-07-02,Juguetes,4,30,120,120
2023-12-18,Libros,5,20,100,100
2023-08-06,Electrónic,6,200,1200,1200
2023-06-15,Alimentos,10,10,100,100
2023-08-25,Juguetes,1,30,30,30
2023-08-11,Juguetes,1,30,30,30
2023-01-30,Electrónic,10,200,2000,2000
2023-06-05,Electrónic,6,200,1200,1200
2023-06-12,Electrónic,1,200,200,200
2023-04-26,Electrónic,7,200,1400,1400
2023-07-09,Ropa,7,50,350,350
2023-07-30,Ropa,5,50,250,250
2023-10-19,Libros,5,20,100,100
2023-11-09,Juguetes,7,30,210,210
2023-11-13,Electrónic,9,200,1800,1800
2023-07-14,Electrónic,8,200,1600,1600
2023-01-02,Electrónic,5,200,1000,1000
2023-05-20,Juguetes,3,30,90,90
2023-01-05,Alimentos,8,10,80,80
2023-01-02,Libros,10,20,200,200
2023-12-24,Ropa,8,50,400,400
2023-02-24,Juguetes,1,30,30,30
2023-08-12,Libros,2,20,40,40
2023-01-21,Ropa,3,50,150,150
2023-01-09,Alimentos,9,10,90,90
2023-07-30,Juguetes,1,30,30,30
2023-07-20,Electrónic,9,200,1800,1800
2023-03-05,Alimentos,2,10,20,20
2023-08-09,Juguetes,2,30,60,60
2023-12-11,Alimentos,6,10,60,60
2023-05-22,Libros,1,20,20,20
2023-07-22,Electrónic,5,200,1000,1000
2023-06-03,Libros,1,20,20,20
2023-09-02,Juguetes,5,30,150,150
2023-08-12,Alimentos,10,10,100,100
2023-07-14,Ropa,10,50,500,500
2023-10-12,Alimentos,3,10,30,30
2023-05-25,Libros,9,20,180,180
2023-09-15,Libros,3,20,60,60
2023-01-18,Ropa,10,50,500,500
2023-01-25,Ropa,10,50,500,500
2023-09-07,Electrónic,7,200,1400,1400
2023-02-07,Electrónic,4,200,800,800
2023-10-26,Ropa,3,50,150,150
2023-04-14,Libros,8,20,160,160
2023-03-05,Alimentos,5,10,50,50
2023-12-15,Juguetes,7,30,210,210
2023-09-14,Juguetes,3,30,90,90
2023-10-12,Juguetes,1,30,30,30
2023-07-18,Alimentos,7,10,70,70
2023-07-27,Juguetes,2,30,60,60
2023-05-25,Electrónic,6,200,1200,1200
2023-10-03,Electrónic,6,200,1200,1200
2023-11-27,Libros,3,20,60,60
2023-06-24,Libros,10,20,200,200
2023-03-05,Juguetes,3,30,90,90
2023-06-29,Ropa,3,50,150,150
2023-02-24,Libros,4,20,80,80
2023-01-30,Electrónic,3,200,600,600
2023-10-04,Juguetes,2,30,60,60
2023-10-06,Ropa,3,50,150,150
2023-06-24,Electrónic,7,200,1400,1400
2023-04-20,Ropa,7,50,350,350
2023-03-10,Electrónic,2,200,400,400
2023-01-05,Ropa,3,50,150,150
2023-05-29,Juguetes,7,30,210,210
2023-08-08,Juguetes,1,30,30,30
2023-08-09,Juguetes,9,30,270,270
2023-12-18,Ropa,1,50,50,50
2023-09-17,Alimentos,7,10,70,70
2023-02-05,Alimentos,5,10,50,50
2023-10-24,Alimentos,7,10,70,70
2023-10-17,Electrónic,3,200,600,600
2023-12-28,Ropa,5,50,250,250
2023-11-05,Electrónic,7,200,1400,1400
2023-07-08,Juguetes,5,30,150,150
2023-01-31,Ropa,1,50,50,50
2023-07-17,Alimentos,5,10,50,50
2023-08-13,Alimentos,7,10,70,70
2023-10-05,Juguetes,4,30,120,120
2023-10-08,Ropa,8,50,400,400
2023-07-13,Juguetes,2,30,60,60
2023-01-14,Alimentos,10,10,100,100
2023-03-19,Electrónic,6,200,1200,1200
2023-06-01,Alimentos,2,10,20,20
2023-03-17,Ropa,1,50,50,50
2023-01-10,Juguetes,5,30,150,150
2023-11-21,Juguetes,9,30,270,270
2023-12-14,Juguetes,1,30,30,30
2023-05-19,Libros,8,20,160,160
2023-02-26,Electrónic,4,200,800,800
2023-06-09,Libros,2,20,40,40
2023-01-07,Libros,2,20,40,40
2023-10-04,Libros,1,20,20,20
2023-04-15,Alimentos,10,10,100,100
2023-10-02,Juguetes,10,30,300,300
2023-07-01,Alimentos,8,10,80,80
2023-12-27,Ropa,8,50,400,400
2023-10-24,Ropa,10,50,500,500
2023-01-22,Electrónic,4,200,800,800
2023-02-03,Alimentos,4,10,40,40
2023-09-23,Libros,8,20,160,160
2023-05-28,Juguetes,5,30,150,150
2023-08-19,Alimentos,8,10,80,80
2023-11-22,Alimentos,7,10,70,70
2023-12-23,Ropa,1,50,50,50
2023-12-12,Juguetes,7,30,210,210
2023-06-29,Alimentos,10,10,100,100
2023-06-27,Juguetes,10,30,300,300
2023-11-26,Libros,8,20,160,160
2023-06-22,Juguetes,3,30,90,90
2023-05-17,Juguetes,7,30,210,210
2023-07-23,Ropa,9,50,450,450
2023-08-29,Electrónic,3,200,600,600
2023-05-21,Alimentos,6,10,60,60
2023-07-31,Ropa,5,50,250,250
2023-03-05,Ropa,1,50,50,50
2023-10-26,Juguetes,1,30,30,30
2023-04-10,Alimentos,5,10,50,50
2023-01-26,Electrónic,10,200,2000,2000
2023-12-13,Ropa,10,50,500,500
2023-01-19,Electrónic,10,200,2000,2000
2023-07-09,Electrónic,3,200,600,600
2023-10-01,Alimentos,2,10,20,20
2023-08-19,Electrónic,8,200,1600,1600
2023-07-03,Alimentos,2,10,20,20
2023-08-19,Electrónic,2,200,400,400
2023-08-01,Libros,3,20,60,60
2023-04-03,Alimentos,1,10,10,10
2023-07-08,Ropa,8,50,400,400
2023-08-27,Electrónic,2,200,400,400
2023-02-11,Libros,3,20,60,60
2023-11-19,Juguetes,2,30,60,60
2023-01-06,Libros,1,20,20,20
2023-05-30,Electrónic,5,200,1000,1000
2023-07-12,Juguetes,3,30,90,90
2023-06-26,Electrónic,4,200,800,800
2023-12-01,Ropa,7,50,350,350
2023-04-21,Electrónic,5,200,1000,1000
2023-12-02,Electrónic,6,200,1200,1200
2023-05-14,Juguetes,8,30,240,240
2023-01-02,Libros,6,20,120,120
2023-04-27,Electrónic,3,200,600,600
2023-09-07,Libros,9,20,180,180
2023-08-03,Electrónic,6,200,1200,1200
2023-03-06,Ropa,2,50,100,100
2023-07-04,Electrónic,3,200,600,600
2023-09-20,Juguetes,3,30,90,90
2023-09-26,Alimentos,10,10,100,100
2023-11-09,Ropa,1,50,50,50
2023-07-08,Ropa,3,50,150,150
2023-09-14,Electrónic,1,200,200,200
2023-07-05,Juguetes,4,30,120,120
2023-11-05,Libros,6,20,120,120
2023-07-14,Alimentos,6,10,60,60
2023-08-17,Libros,4,20,80,80
2023-12-06,Electrónic,9,200,1800,1800
2023-06-02,Libros,8,20,160,160
2023-02-28,Electrónic,5,200,1000,1000
2023-04-24,Libros,10,20,200,200
2023-09-04,Libros,5,20,100,100
2023-10-05,Alimentos,7,10,70,70
2023-01-05,Ropa,1,50,50,50
2023-03-01,Electrónic,4,200,800,800
2023-08-09,Electrónic,8,200,1600,1600
2023-09-01,Ropa,7,50,350,350
2023-07-12,Alimentos,7,10,70,70
2023-07-12,Ropa,6,50,300,300
2023-01-15,Ropa,6,50,300,300
2023-12-06,Juguetes,1,30,30,30
2023-10-24,Juguetes,10,30,300,300
2023-05-01,Alimentos,2,10,20,20
2023-11-21,Libros,8,20,160,160
2023-03-06,Ropa,4,50,200,200
2023-04-08,Juguetes,9,30,270,270
2023-04-19,Juguetes,9,30,270,270
2023-04-30,Electrónic,7,200,1400,1400
2023-01-27,Libros,1,20,20,20
2023-03-30,Libros,5,20,100,100
2023-10-23,Libros,3,20,60,60
2023-10-26,Ropa,3,50,150,150
2023-03-11,Juguetes,1,30,30,30
2023-04-04,Juguetes,5,30,150,150
2023-12-19,Juguetes,9,30,270,270
2023-05-01,Libros,2,20,40,40
2023-12-23,Electrónic,4,200,800,800
2023-08-22,Libros,2,20,40,40
2023-01-09,Ropa,9,50,450,450
2023-09-18,Ropa,10,50,500,500
2023-07-28,Libros,2,20,40,40
2023-07-26,Electrónic,7,200,1400,1400
2023-10-29,Libros,4,20,80,80
2023-11-04,Juguetes,8,30,240,240
2023-07-14,Alimentos,4,10,40,40
2023-08-09,Libros,8,20,160,160
2023-09-19,Juguetes,4,30,120,120
2023-02-07,Alimentos,8,10,80,80
2023-03-19,Juguetes,3,30,90,90
2023-09-13,Alimentos,5,10,50,50
2023-12-27,Libros,4,20,80,80
2023-04-10,Ropa,5,50,250,250
2023-06-30,Electrónic,7,200,1400,1400
2023-01-31,Electrónic,7,200,1400,1400
2023-11-29,Alimentos,7,10,70,70
2023-08-12,Alimentos,6,10,60,60
2023-02-14,Ropa,3,50,150,150
2023-12-02,Juguetes,6,30,180,180
2023-08-05,Juguetes,10,30,300,300
2023-07-21,Alimentos,5,10,50,50
2023-05-22,Libros,10,20,200,200
2023-05-17,Alimentos,1,10,10,10
2023-09-28,Electrónic,6,200,1200,1200
2023-07-20,Electrónic,7,200,1400,1400
2023-03-16,Electrónic,1,200,200,200
2023-05-08,Electrónic,2,200,400,400
2023-07-21,Ropa,3,50,150,150
2023-09-27,Electrónic,8,200,1600,1600
2023-08-24,Electrónic,7,200,1400,1400
2023-07-30,Juguetes,7,30,210,210
2023-06-27,Libros,7,20,140,140
2023-12-14,Juguetes,6,30,180,180
2023-05-02,Alimentos,3,10,30,30
2023-10-06,Libros,7,20,140,140
2023-12-13,Alimentos,9,10,90,90
2023-08-10,Ropa,7,50,350,350
2023-09-22,Electrónic,5,200,1000,1000
2023-09-03,Electrónic,7,200,1400,1400
2023-05-04,Electrónic,5,200,1000,1000
2023-02-10,Alimentos,3,10,30,30
2023-06-13,Alimentos,1,10,10,10
2023-07-27,Electrónic,6,200,1200,1200
2023-04-08,Libros,1,20,20,20
2023-02-07,Alimentos,1,10,10,10
2023-02-23,Alimentos,10,10,100,100
2023-08-20,Libros,9,20,180,180
2023-02-12,Alimentos,8,10,80,80
2023-11-03,Ropa,2,50,100,100
2023-05-27,Electrónic,10,200,2000,2000
2023-04-11,Alimentos,6,10,60,60
2023-12-03,Alimentos,5,10,50,50
2023-12-28,Alimentos,9,10,90,90
2023-07-21,Ropa,10,50,500,500
2023-08-29,Electrónic,6,200,1200,1200
2023-12-20,Libros,5,20,100,100
2023-02-19,Electrónic,4,200,800,800
2023-01-06,Libros,1,20,20,20
2023-07-02,Juguetes,3,30,90,90
2023-12-03,Alimentos,1,10,10,10
2023-05-11,Electrónic,7,200,1400,1400
2023-03-29,Libros,9,20,180,180
2023-10-29,Juguetes,2,30,60,60
2023-04-23,Juguetes,10,30,300,300
2023-07-25,Juguetes,7,30,210,210
2023-12-05,Electrónic,9,200,1800,1800
2023-07-10,Alimentos,10,10,100,100
2023-11-13,Libros,9,20,180,180
2023-07-26,Ropa,10,50,500,500
2023-08-29,Electrónic,8,200,1600,1600
2023-01-11,Libros,8,20,160,160
2023-12-20,Juguetes,4,30,120,120
2023-03-25,Libros,7,20,140,140
2023-03-23,Ropa,8,50,400,400
2023-05-18,Juguetes,5,30,150,150
2023-08-02,Electrónic,2,200,400,400
2023-12-11,Ropa,5,50,250,250
2023-02-01,Juguetes,9,30,270,270
2023-12-12,Alimentos,10,10,100,100
2023-02-09,Electrónic,10,200,2000,2000
2023-12-24,Libros,8,20,160,160
2023-09-06,Alimentos,6,10,60,60
2023-08-28,Ropa,6,50,300,300
2023-01-15,Ropa,2,50,100,100
2023-05-04,Ropa,1,50,50,50
2023-06-29,Ropa,4,50,200,200
2023-04-29,Libros,6,20,120,120
2023-10-28,Alimentos,10,10,100,100
2023-01-30,Juguetes,10,30,300,300
2023-02-19,Alimentos,4,10,40,40
2023-02-01,Electrónic,10,200,2000,2000
2023-09-04,Ropa,1,50,50,50
2023-06-29,Alimentos,10,10,100,100
2023-04-29,Alimentos,8,10,80,80
2023-11-11,Alimentos,1,10,10,10
2023-04-03,Ropa,7,50,350,350
2023-12-13,Juguetes,8,30,240,240
2023-07-11,Alimentos,10,10,100,100
2023-07-01,Electrónic,1,200,200,200
2023-04-01,Ropa,7,50,350,350
2023-06-30,Ropa,1,50,50,50
2023-01-27,Ropa,7,50,350,350
2023-11-26,Juguetes,8,30,240,240
2023-08-17,Alimentos,5,10,50,50
2023-11-03,Alimentos,9,10,90,90
2023-01-01,Alimentos,3,10,30,30
2023-07-20,Alimentos,4,10,40,40
2023-04-21,Electrónic,7,200,1400,1400
2023-08-10,Libros,9,20,180,180
2023-06-18,Alimentos,9,10,90,90
2023-07-16,Electrónic,9,200,1800,1800
2023-01-19,Libros,7,20,140,140
2023-05-15,Alimentos,6,10,60,60
2023-08-02,Electrónic,1,200,200,200
2023-10-12,Juguetes,1,30,30,30
2023-08-05,Electrónic,4,200,800,800
2023-05-13,Electrónic,7,200,1400,1400
2023-09-11,Electrónic,7,200,1400,1400
2023-12-20,Juguetes,2,30,60,60
2023-11-12,Libros,1,20,20,20
2023-09-05,Alimentos,1,10,10,10
2023-11-29,Juguetes,3,30,90,90
2023-09-30,Electrónic,9,200,1800,1800
2023-09-27,Libros,7,20,140,140
2023-11-27,Alimentos,1,10,10,10
2023-06-28,Libros,6,20,120,120
2023-12-09,Juguetes,5,30,150,150
2023-11-26,Libros,7,20,140,140
2023-10-08,Electrónic,7,200,1400,1400
2023-06-04,Libros,3,20,60,60
2023-03-09,Ropa,1,50,50,50
2023-07-10,Libros,6,20,120,120
2023-05-14,Libros,5,20,100,100
2023-08-30,Libros,5,20,100,100
2023-02-27,Ropa,10,50,500,500
2023-11-26,Libros,6,20,120,120
2023-03-13,Ropa,6,50,300,300
2023-06-11,Alimentos,9,10,90,90
2023-05-18,Electrónic,3,200,600,600
2023-01-09,Ropa,9,50,450,450
2023-01-04,Ropa,5,50,250,250
2023-05-05,Ropa,5,50,250,250
2023-04-22,Libros,7,20,140,140
2023-04-02,Juguetes,9,30,270,270
2023-04-17,Juguetes,8,30,240,240
2023-03-06,Ropa,7,50,350,350
2023-09-26,Juguetes,7,30,210,210
2023-03-23,Alimentos,5,10,50,50
2023-02-03,Electrónic,10,200,2000,2000
2023-04-09,Juguetes,8,30,240,240
2023-10-05,Alimentos,10,10,100,100
2023-10-26,Libros,4,20,80,80
2023-03-31,Alimentos,6,10,60,60
2023-10-26,Alimentos,8,10,80,80
2023-05-08,Electrónic,6,200,1200,1200
2023-10-21,Libros,2,20,40,40
2023-03-21,Electrónic,3,200,600,600
2023-12-30,Electrónic,3,200,600,600
2023-03-18,Alimentos,1,10,10,10
2023-05-19,Electrónic,7,200,1400,1400
2023-06-24,Alimentos,9,10,90,90
2023-07-20,Electrónic,3,200,600,600
2023-08-01,Electrónic,4,200,800,800
2023-05-17,Ropa,6,50,300,300
2023-08-22,Electrónic,10,200,2000,2000
2023-07-07,Alimentos,7,10,70,70
2023-03-26,Libros,6,20,120,120
2023-05-18,Juguetes,4,30,120,120
2023-11-05,Alimentos,6,10,60,60
2023-08-24,Juguetes,6,30,180,180
2023-12-12,Electrónic,2,200,400,400
2023-02-17,Alimentos,9,10,90,90
2023-07-28,Alimentos,10,10,100,100
2023-04-20,Juguetes,1,30,30,30
2023-08-08,Ropa,2,50,100,100
2023-05-27,Libros,10,20,200,200
2023-10-09,Alimentos,4,10,40,40
2023-11-09,Libros,5,20,100,100
2023-12-13,Ropa,6,50,300,300
2023-08-12,Ropa,8,50,400,400
2023-03-22,Juguetes,9,30,270,270
2023-09-08,Alimentos,7,10,70,70
2023-03-28,Juguetes,8,30,240,240
2023-08-01,Ropa,10,50,500,500
2023-09-07,Alimentos,10,10,100,100
2023-09-18,Ropa,10,50,500,500
2023-11-30,Alimentos,1,10,10,10
2023-08-14,Electrónic,10,200,2000,2000
2023-09-27,Electrónic,3,200,600,600
2023-07-17,Juguetes,8,30,240,240
2023-05-01,Juguetes,3,30,90,90
2023-04-27,Ropa,2,50,100,100
2023-06-30,Juguetes,3,30,90,90
2023-06-19,Electrónic,9,200,1800,1800
2023-10-23,Juguetes,9,30,270,270
2023-03-21,Alimentos,10,10,100,100
2023-10-31,Juguetes,9,30,270,270
2023-10-01,Libros,6,20,120,120
2023-02-26,Electrónic,2,200,400,400
2023-01-15,Libros,9,20,180,180
2023-09-29,Juguetes,3,30,90,90
2023-09-23,Ropa,8,50,400,400
2023-03-07,Juguetes,7,30,210,210
2023-05-13,Alimentos,2,10,20,20
2023-05-08,Electrónic,9,200,1800,1800
2023-10-26,Juguetes,7,30,210,210
2023-11-02,Libros,6,20,120,120
2023-03-01,Ropa,4,50,200,200
2023-04-02,Ropa,10,50,500,500
2023-01-23,Electrónic,4,200,800,800
2023-02-18,Electrónic,2,200,400,400
2023-05-14,Electrónic,8,200,1600,1600
2023-05-26,Alimentos,3,10,30,30
2023-06-27,Electrónic,9,200,1800,1800
2023-03-24,Juguetes,6,30,180,180
2023-09-05,Libros,3,20,60,60
2023-11-23,Alimentos,4,10,40,40
2023-06-08,Ropa,10,50,500,500
2023-03-01,Libros,7,20,140,140
2023-04-26,Electrónic,3,200,600,600
2023-12-17,Electrónic,6,200,1200,1200
2023-08-28,Libros,6,20,120,120
2023-12-22,Ropa,4,50,200,200
2023-12-14,Juguetes,6,30,180,180
2023-10-05,Electrónic,2,200,400,400
2023-04-25,Electrónic,7,200,1400,1400
2023-02-10,Libros,10,20,200,200
2023-10-31,Alimentos,6,10,60,60
